,Event,Date,Organizer,Location
0,PDUG на PHDays 8,15 мая 2018 г.,Positive Development User Group,Москва
0,SPBDSM#12,18 октября 2018 г.,St. Petersburg Data Science,Санкт-Петербург
0,PM Lunch in Dim Sum Now 15.02,15 февраля 2020 г.,PM lunch (St. Petersburg),Sankt-Peterburg
0,Первая встреча сообщества,19 июля 2014 г.,Moscow Python Meetup,Москва
0,Global Power Platform Bootcamp - Москва - 15 февраля 2020,15 февраля 2020 г.,Russian MVP Community,
0,Firewall Talks,28 ноября 2019 г.,Cyber Security Club Moscow,Moskva
0,Первый OpenStack Meetup в Казани,21 апреля 2016 г.,OpenStack & OpenInfra Russia Kazan,Казань
0,BudgetApps-СПРИНТ - открытые данные в стиле спринт!,13 августа 2016 г.,Moscow Open Data Development Meetup,Москва
0,Kubernetes®  Meetup,5 марта 2020 г.,Мероприятия Яндекс.Облака для разработчиков,Москва
0,BeerPHP Moscow #3 - PHP Russia Special,17 мая 2019 г.,BeerPHP Moscow,Moskva
0,SPb Jenkins Meetup #9. Администрирование Jenkins,28 ноября 2017 г.,St. Petersburg Jenkins Meetup,Saint Petersburg
0,Я.Субботник мобильных разработчиков,7 октября 2017 г.,Yandex Novosibirsk Events for Developers,Новосибирск
0,WTM-meetup #3,7 декабря 2019 г.,GDG Kaliningrad,Калининград
0,St. Petersburg Apache® Ignite™ Meetup #5,7 февраля 2019 г.,St. Petersburg Apache Ignite® Meetup,Санкт-Петербург
0,Встреча SpbDotNet №50,10 сентября 2019 г.,SpbDotNet,
0,"React Moscow Meetup 5: HOC, Hooks, Java & React, Huge Apps, MobX vs Redux",11 декабря 2019 г.,React Moscow Meetup,Moskva
0,IWD Krasnodar 2019,21 апреля 2019 г.,GDG Krasnodar,Краснодар
0,(Pending - отложено) Встреча по философии и психологии MERGE Talks PSY,8 марта 2020 г.,Language Club MERGE,Москва
0,Dynamics 365 BC: апрельский релиз. Санкт-Петербург.,23 апреля 2019 г.,Dynamics365 Russian User Group,Sankt-Peterburg
0,Flutter Study Jam,6 декабря 2019 г.,GDG Ulan-Ude,Улан-Удэ
0,Symfony Moscow Meetup #13 - 8bit symfonyconf (17 oct 2017),17 октября 2017 г.,Symfony Moscow Meetup - Symfoniacs,Москва
0,Митап по фасилитации,16 октября 2018 г.,Inspired by Agile Moscow Meetup,Москва
0,"ФП среда ""Зав типы, которые могут навредить""",4 марта 2020 г.,Rostov IT Events,Ростов
0,(Pending - отложено) WIR SPRECHEN DEUTSCH Говорим по-немецки (MERGE),7 марта 2020 г.,Language Club MERGE,Москва
0,Scala Russian Meetup,24 мая 2018 г.,Ekb Scala User Group,Екатеринбург
0,ClojuRU Meetup,27 февраля 2020 г.,Moscow Clojure Meetup,Москва
0,"Курс обучения ""Apache AirFlow""",3 апреля 2020 г.,BigDataSchool,Москва
0,Квартирник Модель мира,28 марта 2020 г.,FoundersDevelopers / WorldModel,Moskva
0,Вебинар: In-Memory Computing в логистике,6 февраля 2019 г.,Moscow In-Memory Computing Meetup,
0,October React Meetup in Moscow,26 октября 2016 г.,React Moscow Meetup,
0,Вебинар: Troubleshooting Apache® Ignite™,12 марта 2019 г.,Moscow Apache Ignite®  Meetup,
0,GDG DevFest Tyumen 2019,15 ноября 2019 г.,GDG Tyumen,Tyumen
0,DΛTA GEEKS MEETUP: New Year is coming,14 декабря 2017 г.,Data Geeks Community,Москва
0,Обсуждение книги Structure and Interpretation of Computer Programs,7 сентября 2019 г.,Functional Programming Specialty,Новосибирск
0,Tver.io Anniversary Meetup,19 декабря 2019 г.,Tver.io Meetup,Тверь
0,JetBrains Night Sydney,15 октября 2019 г.,JetBrains Nights,Sydney
0,OWASP Russia Meetup #3,6 июня 2015 г.,OWASP Moscow Chapter,Москва
0,MVPOpenFest: Meetup,20 марта 2018 г.,IoT Community,Москва
0,Submeet #7,6 декабря 2019 г.,Submeet в Электронном городе,Новосибирск
0,WP Moscow #9. Осенний митап на крыше,5 сентября 2019 г.,WordPress Moscow,Москва
0,Возвращение Человека-докладчика,5 апреля 2018 г.,Scala Moscow,Москва
0,Третий митап сообщества Volga JS,12 февраля 2020 г.,Saratov IT,Саратов
0,QA Meetup,2 февраля 2020 г.,Plesk,Новосибирск
0,Product Mindset Krasnodar #2,5 октября 2019 г.,Productology.krd,Краснодар
0,"AWSRus #9, 11 December 2019",11 декабря 2019 г.,AWS User Group Россия (СПб),Sankt-Peterburg
0,Submeet #4,19 апреля 2019 г.,Submeet в Электронном городе,Новосибирск
0,Конференция WomenIBD Talk,20 апреля 2019 г.,Women in Big Data (Russian Chapter),Nizhnij Novgorod
0,CI/CD и DevOps для небольших проектов,22 декабря 2019 г.,GDG Krasnoyarsk,Krasnoyarsk
0,Agile meetup#6,2 июня 2018 г.,AgileNSK,Новосибирск
0,Октябрь в гостях у Райффайзенбанк,25 октября 2018 г.,Moscow Atlassian User Group,Москва
0,Product MindSet Novosibirsk Meetup #3,6 ноября 2019 г.,Plesk,Новосибирск
0,DevDay 2018,7 апреля 2018 г.,Ivanovo IT Garage,Иваново
0,RedCode Meetup #3. Spring Boot или новые методы решения новых проблем,20 июня 2019 г.,RedCode,Краснодар
0,Symfony St. Petersburg Meetup #6 В гостях у Symfoniacs в Москве (23 aug 2019),23 августа 2019 г.,SymCode,Moskva
0,IoT. Вещи и данные - Что такое интернет вещей и как его готовить,29 января 2020 г.,Data People,Moskva
0,Machine Learning Everywhere. Build your ladder to AI.,27 февраля 2018 г.,Big Data Developers in Moscow,
0,TrelloDay: готовим Trello на все случаи жизни,28 ноября 2018 г.,Moscow Atlassian User Group,Москва
0,POWER оf the POWER9,12 сентября 2018 г.,IBM Power Moscow.,Москва
0,Functional Programming Conference,15 августа 2015 г.,Functional programming Meetup,Москва
0,SAFe® Agile Release Train: запустить и направить,5 марта 2020 г.,Scaling Agile Russia Meetup,Moskva
0,Второй OpenStack Meetup в Казани,19 октября 2017 г.,OpenStack & OpenInfra Russia Kazan,Казань
0,Power BI meetup Moscow May 31,31 мая 2019 г.,Russian MVP Community,Moskva
0,IoT новинки Microsoft,6 июня 2018 г.,IoT Community,Москва
0,Code Contribution Day: Вместе c Лондоном,12 июня 2018 г.,Moscow Magento Meetup,Москва
0,Летняя практика бизнес-анализа в лесу (ленобласть),23 июня 2018 г.,CradleCreativeProjects,
0,Открытый мастер-класс «Визитка: простые решения сложной задачи»,30 января 2020 г.,Международная Школа Дизайна (Санкт-Петербург),Санкт-Петербург
0,Next ’19 Extended Kazan,27 апреля 2019 г.,GDG Kazan,Казань
0,MSK VUE.JS MEETUP #2,15 августа 2019 г.,MSK VUE.JS,Moskva
0,"Как ""продавать"" топам ""гибкий бэклог"" после ритуалов скрама",19 декабря 2018 г.,"Цифровые трансформации(Облака, Agile, PM)",Москва
0,ODS SPB Meetup #6 ,17 октября 2019 г.,St. Petersburg Open Data Science Meetup,Санкт-Петербург
0,SPb Python Drinkup,26 ноября 2020 г.,SPb Python Community,
0,PiterPy Meetup,14 апреля 2020 г.,PiterPy Meetup,
0,Business Intelligence Meetup #1,18 марта 2020 г.,EPAM IT Events,Санкт-Петербург
0,Двадцать второй  митап Сообщества блокчейн-разработчиков Санкт-Петербурга,31 июля 2019 г.,St. Petersburg BlockChain Community Meetup,Санкт-Петербург
0,SPb IT Recruiter Meetup#4,30 января 2020 г.,SPb IT Recruiter,Sankt-Peterburg
0,St. Petersburg Rust Meetup,22 декабря 2019 г.,SPb Rust Community,Sankt-Peterburg
0,8 встреча Сообщества технических писателей Санкт-Петербурга,26 апреля 2017 г.,Write the Docs St. Petersburg,Санкт-Петербург
0,Code In The Dark,16 мая 2019 г.,GDG Rostov-on-Don,Ростов
0,Data Science Meetup,23 ноября 2019 г.,EPAM IT Events Nizhniy Novgorod,Nizhnij Novgorod
0,SPb Reliability Meetup на ITGM #14,23 марта 2019 г.,SPb Reliability Meetup,Sankt-Peterburg
0,Virtual Event: Win a Ticket to Machine Learning Prague,21 февраля 2020 г.,Moscow Artificial Intelligence & Deep Learning,
0,"DeFi — финансовые примитивы, оракулы и композитные деривативы DAI",12 сентября 2019 г.,#DeFiMoscow - децентрализованная финансовая инфраструктура,Москва
0,Meetup в Mail.ru,20 апреля 2018 г.,OpenStack & OpenInfra Russia Moscow,Москва
0,"Moscow Kubernetes Meetup #7: Yandex.Cloud, CI/CD, Service Mesh, Envoy, etc",5 марта 2020 г.,Moscow Kubernetes Meetup,Moskva
0,Серия технических вебинаров по Sophos Central,5 августа 2019 г.,FACTOR GROUP Training and Education Center User Group,
0,Modern Authentication and Authorization,16 мая 2019 г.,Paymentwall Novosibirsk,Новосибирск
0,"Ретроспектива - устраняем причины, а не симптомы",23 мая 2017 г.,St. Petersburg Lean Coffee,Saint Petersburg
0,Kotlin Welcome Meetup,13 декабря 2017 г.,St. Petersburg Kotlin User Group,Санкт-Петербург
0,Moscow English Speaking Club for Programmers SPEAK++,25 января 2020 г.,Moscow English Speaking Club for Programmers SPEAK++,Moskva
0,Flutter Study Jam,3 декабря 2019 г.,GDG Ulan-Ude,Улан-Удэ
0,Founders&Products Brunch,8 марта 2020 г.,FoundersDevelopers / WorldModel,Moskva
0,Субботняя встреча MLUG / MLUG saturday's meetup,25 апреля 2020 г.,Moscow GNU/Linux User Group,Москва
0,World Product Day,15 мая 2019 г.,ProductTank Moscow,Moskva
0,"очный Курс обучения  ""Анализ данных с Apache Spark""",31 марта 2020 г.,BigDataSchool,Москва
0,Atlassian user group идет в IT Global Meetup #15,27 июля 2019 г.,Atlassian User Group in St. Petersburg,
0,HR-секция на фестивале Круг Света 2019,22 сентября 2019 г.,Spice IT Networking,Moskva
0,Developer Student Club meetup #2: Machine learning ,3 декабря 2019 г.,GDG Kaliningrad,Калининград
0,Ruby Meetup №7. ,28 августа 2018 г.,RubyRussia,Москва
0,Second meetup,10 декабря 2015 г.,Moscow NodeJS Meetup,Москва
0,1) Алгоритм роя; 2) Onboarding — новичок в команде,27 февраля 2020 г.,Московский клуб программистов,Москва
0,Kotlin Meetup #2,8 февраля 2018 г.,St. Petersburg Kotlin User Group,Санкт-Петербург
0,Hyperledger Moscow Meetup,19 октября 2018 г.,Hyperledger Moscow,Москва
0,Code In The Dark! Битва верстальщиков от GDG Rostov-on-Don,30 января 2020 г.,Rostov IT Events,Ростов
0,Настольная Scrum игра!!!,25 января 2017 г.,AgilePeople_Spb,Санкт-Петербург
0,AgileUfa #5! В гостях у ____ ?!,9 мая 2018 г.,"Agile Ufa (Scrum, Kanban, Lean, и все про бизнес-процессы)",
0,1) Как делать хорошие сайты командой и 2) Теория педагогических измерений,12 декабря 2019 г.,Московский клуб программистов,Москва
0,DΛTA GEEKS ВЕСНА,5 марта 2019 г.,Data Geeks Community,Москва
0,Вебинар: Что нового в веб-консоли для Apache® Ignite ™ и GridGain®,18 октября 2019 г.,Moscow Apache Ignite®  Meetup,
0,Live Online Webinar : Hadoop 2.x Introduction to Big Data and Hadoop Using Hive,4 августа 2016 г.,Hadoop Moscow,
0,"Поговорим о Service Desk'ах, и Trello для ретроспектив!",3 октября 2018 г.,Ufa Atlassian User Group,Уфа
0,"Конференция ""ICO блокчейн-проектов. Децентрализованное страхование. Кейсы""",4 марта 2017 г.,iBlockchain World,Москва
0,DevFest Ufa 2018,17 ноября 2018 г.,GDG Ufa,Уфа
0,Научимся думать на английском языке (отложено),8 марта 2020 г.,Language Club MERGE,Москва
0,Бесплатный курс  занятий “JavaScript” для всех желающих,11 января 2020 г.,GDG Magas,Назрань
0,Просмотр Flutter Interact,21 декабря 2019 г.,GDG Magas,Назрань
0,Dynamics 365 & Power Platform митап в Москве. 5 декабря 2019,5 декабря 2019 г.,Dynamics365 Russian User Group,Moskva
0,Golang Workshop,26 октября 2019 г.,GDG Nizhny Novgorod,Нижний Новгород
0,MeetUp для разработчиков ,5 декабря 2019 г.,Группа Митапы от ИЦ Ай-Теко,Екатеринбург
0,Product Engineering MeetUp,21 ноября 2019 г.,ManyChat events,Москва
0,PiterPy Meetup,8 сентября 2020 г.,PiterPy Meetup,
0,DevFest Astrakhan 2018,24 ноября 2018 г.,GDG Astrakhan,Astrakhan
0,Когнитивные сервисы IBM для интернета вещей,13 марта 2018 г.,IoT Community,Москва
0,В гостях у Лаборатории Касперского,26 апреля 2018 г.,Moscow Atlassian User Group,Москва
0,"Осенний Atlassian Community в Модульбанке-Тестирование,отчеты,оформление тикетов",12 сентября 2019 г.,Ufa Atlassian User Group,Уфа
0,St. Petersburg Rust Meetup,27 октября 2019 г.,SPb Rust Community,Sankt-Peterburg
0,"Кроссплатформенная разработка для iOS, Android, Windows",18 декабря 2014 г.,Microsoft Dev Tech,Москва
0,Deep Learning and Containers - an IBM infrastructure view,10 декабря 2018 г.,IBM BlueExperts CEE,Будапешт
0,Вторая встреча общества анонимных тестировщиков,30 ноября 2017 г.,Общество анонимных тестировщиков,Москва
0,Январская встреча,23 января 2015 г.,Scala Moscow,Москва
0,Анализ данных и управленческая отчетность в Google Spreadsheets,21 ноября 2019 г.,Moscow School of Business Analysis,Москва
0,Выравнивание организации: от силосов к портфелю,3 октября 2019 г.,Scaling Agile Russia Meetup,Moskva
0,Безопасная разработка на IT-фесте TechTrain (1 сентября),1 сентября 2018 г.,Positive Development User Group,Санкт-Петербург
0,GDG DevOps,27 сентября 2019 г.,GDG Tyumen,Tyumen
0,Meetup #7,22 апреля 2016 г.,St. Petersburg Data Science,Saint Petersburg
0,"Ноябрьская встреча AUG в Модульбанке - Обновление Confluence, Воркфлоу",5 ноября 2019 г.,Ufa Atlassian User Group,Уфа
0,Meetup в Mail.ru,30 ноября 2018 г.,OpenStack & OpenInfra Russia Moscow,Москва
0,Вебинар. Пошаговая миграция 1С в Облако. DataLens для визуализации данных из 1C,19 марта 2020 г.,Мероприятия Яндекс.Облака для разработчиков,
0,ProductTank Moscow #1. Product Open Space,2 августа 2018 г.,ProductTank Moscow,Москва
0,Сентябрьская встреча SPbLUG,25 сентября 2019 г.,DevOps-40,Sankt-Peterburg
0,[hangops_ru] Посиделки на DevopsForum 2019,20 апреля 2019 г.,DevOps Moscow in Russian,
0,DevFest Moscow 2019,9 ноября 2019 г.,GDG Moscow,Moskva
0,WorldModel,8 февраля 2020 г.,FoundersDevelopers / WorldModel,
0,GDG Databases. PostgreSQL Pro deep dive,7 февраля 2020 г.,GDG Tyumen,Tyumen
0,Постгрес-вторник,28 января 2020 г.,#RuPostgres,
0,Шестая встреча,26 апреля 2017 г.,Scala Moscow,Москва
0,@Kubernetes Conference в офисе Mail.ru Group,29 ноября 2019 г.,"@Kubernetes, @DevOps, @Databases в Mail.ru Group",Moskva
0,Tutu PHP Meetup #2,6 октября 2018 г.,Moscow PHP Meetup,Москва
0,PiterPy Meetup #19,26 сентября 2019 г.,PiterPy Meetup,Sankt-Peterburg
0,FlowDays.Novosibirsk - все о Kanban за один день,11 декабря 2019 г.,AgileSibir: все про Agile и Scrum из Сибири (Novosibirsk),Новосибирск
0,Празднование 15-летия WordPress,19 мая 2018 г.,WordPress Krasnogorsk,Красногорск
0,Growlabs introduction ,13 марта 2019 г.,GDG Krasnodar,Краснодар
0,Общегородская встреча сообщества HashiCorp User Group #11,29 августа 2018 г.,"St. Petersburg, Russia HashiCorp User Group",Санкт-Петербург
0,Ansible SPb Kickoff Meeting,16 апреля 2015 г.,Ansible SPb,Москва
0,Unreal Engine Meetup. Let's develop!,23 июня 2017 г.,Yaroslavl - Unreal Engine Meetup,Ярославль
0,Grandstream Certified Specialist: IP телефония на базе оборудования Grandstream,27 февраля 2020 г.,FACTOR GROUP Training and Education Center User Group,Moskva
0,Symfony Beer Meetup #2 - Встреча с Tobias Nyholm,11 июня 2017 г.,Symfony Moscow Meetup - Symfoniacs,Москва
0,Вебинар. Как приручить голосового робота,11 февраля 2020 г.,Мероприятия Яндекс.Облака для разработчиков,
0,Встреча Сообщества IT Pro,23 мая 2019 г.,Сообщество IT Pro в Москве,Moskva
0,SPBDSM#13,19 декабря 2018 г.,St. Petersburg Data Science,Санкт-Петербург
0,TrueConf TypeScript Meetup #1: 500 причин переписать ваш код на TypeScript,20 февраля 2020 г.,Moscow North-East FrontEnd Talks,Moskva
0,WP Moscow #10. Субботний митап,16 ноября 2019 г.,WordPress Moscow,Москва
0,Vue.js Moscow #3 (22.08.2019) - Ozon,22 августа 2019 г.,Moscow Vue.js Meetup,Moskva
0,NADA Show 2020. Итоги и тенденции,27 февраля 2020 г.,Автобизнес новой реальности,Москва
0,MOSDROID #22 Titanium,1 февраля 2020 г.,MOSDROID,Moskva
0,Go Study Innopolis Lesson 2,13 февраля 2020 г.,GDG Cloud Innopolis,Innopolis
0,Drupal Global Training Days Moscow + Drinkup,18 апреля 2019 г.,[Any] Digital Moscow,Moskva
0,INTR: Основы Hadoop,20 января 2020 г.,BigDataSchool,Москва
0,Go SPB @ ITGM #14,23 марта 2019 г.,Go SPB,Sankt-Peterburg
0,Meetup #6,19 февраля 2016 г.,St. Petersburg Data Science,Санкт-Петербург
0,Групповые когнитивные искажения - практика возвращения драйва в команды,10 апреля 2019 г.,"Цифровые трансформации(Облака, Agile, PM)",Moskva
0,Kotlin и работа с БД,4 декабря 2019 г.,Kotlin Moscow,Москва
0,SharePoint and Office 365 Moscow Meetup #6,25 февраля 2020 г.,SharePoint and Office 365 Community Moscow,Moskva
0,Blockchain MeetUp: IBCG - Итоги года 2017,27 декабря 2017 г.,IBCG (Moscow Blockchain Community),Москва
0,Разберем Evidence Based Management по косточкам,24 апреля 2019 г.,Agile Lean Moscow,Moskva
0,Data Fest #1,12 сентября 2015 г.,Moscow Data Fest,Москва
0,"Успешные проекты в Atlassian suite (Jira, Confluence, Bitbucket)",28 января 2020 г.,Atlassian User Group in St. Petersburg,Saint Petersburg
0,Открытая встреча Российской рабочей группы по стандартизации С++,4 декабря 2018 г.,Yandex Moscow Events for Developers,Москва
0,Встреча KrdDotNet 0x02,6 декабря 2019 г.,KrdDotNet,Краснодар
0,Go Meetup SPB: April,30 апреля 2019 г.,Go SPB,Sankt-Peterburg
0,Webinar: The 5 Key AI Takeaways for Today's C-Suite (Presented from the UK),19 августа 2019 г.,Moscow Artificial Intelligence & Deep Learning,Mountain View
0,QARATE #3 — Wayback QA Workshop,29 февраля 2020 г.,Rostov IT Events,Таганрог
0,LeSS Day Europe,6 декабря 2019 г.,Large Scale Scrum (LeSS) Russia,Moskva
0,ScalaNsk meeting #3,12 июля 2013 г.,Novosibirsk Scala Enthusiasts,Новосибирск
0,MobiFest Talks | Томск | 13.02.20,13 февраля 2020 г.,IT События ЦФТ,Томск
0,Общие вопросы электронной коммерции,3 октября 2019 г.,Ecommerce Mastermind,
0,Анализ данных и управленческая отчетность в Google Spreadsheets,25 ноября 2019 г.,Moscow School of Business Analysis,Москва
0,Metasploit Review & Talks,28 июля 2019 г.,Cyber Security Club Moscow,Москва
0,(Pending - отложено) MERGE CASH. BUSINESS ENGLISH through CASHFLOW 101&202,8 марта 2020 г.,Language Club MERGE,Москва
0,Event meetup #2,8 июня 2019 г.,Lectorium POTOK,Новосибирск
0,Flutter Interact ,12 декабря 2019 г.,GDG Kaliningrad,Калининград
0,Product MindSet Novosibirsk Meetup #4,26 февраля 2020 г.,Plesk,Новосибирск
0,Встреча #9,21 мая 2019 г.,SPb Azure Interest Group,Санкт-Петербург
0,OpenInfra Meetup в Mail.ru,12 декабря 2019 г.,OpenStack & OpenInfra Russia Moscow,Москва
0,Аппаратная виртуализация и внутренние диски на серверах Power,27 апреля 2018 г.,IBM Power Moscow.,Москва
0,Постгрес-вторник,4 февраля 2020 г.,#RuPostgres,
0,"Онлайн-лекция ""Деньги, криптовалюта, блокчейн. Основы для начинающих""",23 февраля 2017 г.,iBlockchain World,
0,Ufa IT Management Meetup 4 - Про Требования,12 декабря 2017 г.,"Agile Ufa (Scrum, Kanban, Lean, и все про бизнес-процессы)",Уфа
0,Market Frontend Meetup,11 декабря 2018 г.,Yandex Moscow Events for Developers,Москва
0,Intelligent Communicatios в бизнесе,12 декабря 2019 г.,Intelligent Communications Community,
0,Dynamics 365 & Power Platform meetup Moscow - 25 февраля 2020,25 февраля 2020 г.,Dynamics365 Russian User Group,Moskva
0,"AWSRus #7, 16 April 2019",16 апреля 2019 г.,AWS User Group Россия (СПб),Санкт-Петербург
0,Moscow Rust Meetup,6 сентября 2019 г.,Rust в Москве,Москва
0,English Speaking Club,1 февраля 2020 г.,Бесплатный Английский Разговорный клуб,Москва
0,Контракт Скрам-Мастера/Аджайл Коуча,23 января 2020 г.,Agile Lean Moscow,Москва
0,Постгрес-вторник,21 апреля 2020 г.,#RuPostgres,
0,Значение классифайдов в автобизнесе сегодня,23 января 2020 г.,Автобизнес новой реальности,Москва
0,Sitecore User Group Russia Meetup #2,4 декабря 2019 г.,Sitecore User Group Russia,St Petersburg
